Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947722,1.2926943085649218,-0.9958459742982011,0.33388020599952745,-0.12487315303797833,0.005190813585619344,0.764899192992426,-0.0359955427023003,-0.05856702805671979,-0.09714446110608187,0.0,0.0,0.1
1681947722,1.3107329549612479,-0.9959369546735648,0.32667396938599386,-0.1303339331824421,0.004929333208245656,0.7903645003035015,0.3,-0.3,0.5,0.0,0.0,0.1
1681947723,1.3295785827723312,-0.9873427366961346,0.3404047036427959,-0.13207515507143663,0.003066130843087385,0.8061483269944393,-0.01657398973678205,-0.18450130833690362,0.1113652191307629,0.0,0.0,0.1
1681947724,1.4145026374951177,-0.9614633942374964,0.36483216191940454,-0.13254593890435531,0.0032632785886538168,0.8150909540787731,-0.027147466964734288,-0.07997863271351006,0.09058359115229987,0.0,0.0,0.1
1681947725,1.4875766835550266,-0.9285880258063203,0.37758613381240685,-0.13475904246506573,0.002543603442824992,0.8360135681164157,-0.03373095965644039,-0.09789004699286294,0.08769351927051158,0.0,0.0,0.1
1681947726,1.5442986909896415,-0.9124468575308547,0.402364542149651,-0.13908848499098309,0.002790751139322724,0.8584629811399321,-0.025159247033916927,-0.0771466263672404,0.05409726157509398,0.0,0.0,0.1
1681947726,1.5843198765856212,-0.9021883954165181,0.43783590888414176,-0.140332389108467,0.00248718182456652,0.8631002918300593,-0.03215197287500292,-0.06509822494500635,0.044771336893122286,0.0,0.0,0.1
1681947727,1.5983999036935508,-0.8920969060195286,0.42933332843022565,-0.14375420070354228,0.003542292502313231,0.8749218718525937,-0.013364547752064629,-0.2729496098595696,0.36589886632916924,0.0,0.0,0.1
1681947728,1.6229060208308397,-0.8568486469562824,0.46539768616928057,-0.147001794535406,0.0028389792387205986,0.8911126207323109,-0.05360057613866945,-0.12886877959865642,0.1921314199924052,0.0,0.0,0.1
1681947729,1.6939025485724226,-0.8010708933739158,0.5331506541521902,-0.145921828050504,0.00285061361795341,0.8968639941321114,-0.03355817425598155,-0.11603951904946361,0.18428588647194738,0.0,0.0,0.1
