time,linear_pos_x,linear_pos_y,linear_pos_z,angular_pos_x,angular_pos_y,angular_pos_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z
1683839954,-0.029181100689087656,0.008320133629314455,0.31359610824726103,0.0001954845423649966,-0.009615674280394892,0.0001571189422091696,0.0,0.0,0.0,0.008858143577023317,-0.005940289110132405,-0.001965033765558566,0.0,0.0,0.0
1683839954,-0.02829701233054698,0.009613733395603242,0.3136943486996021,0.00011275866651558696,-0.009532344095817541,-2.8935989371223776e-06,0.0,0.0,0.0,0.01768176717081356,0.02587199532577574,0.001964809046821614,0.0,0.0,0.0
1683839955,-0.02751552760735776,0.008595052663096259,0.3129014942249852,0.00047433950599313953,-0.009476731208532764,0.0001446224483405656,0.0,0.0,0.0,0.015629694463784385,-0.020373614650139663,-0.015857089492338217,0.0,0.0,0.0
1683839955,-0.0249941644985787,0.008808423725630826,0.3106263119262114,0.0002456983413909947,-0.009105827769642558,7.721761922280197e-05,0.0,0.0,0.0,0.05042726217558122,0.004267421250691329,-0.045503645975476514,0.0,0.0,0.0
1683839955,-0.02491605187227015,0.009846791033802172,0.3090259554291247,0.0004956021345366561,-0.009300749470575796,1.7613465908437755e-05,0.0,0.0,0.0,0.001562252526170968,0.020767346163426924,-0.03200712994173349,0.0,0.0,0.0
1683839955,-0.027512052275051543,0.007417143221908819,0.3057802695020638,0.0004906137137226773,-0.009592742268713235,0.00027450176970000796,0.0,0.0,0.0,-0.05192000805562785,-0.04859295623786706,-0.06491371854121852,0.0,0.0,0.0
1683839955,-0.024636181545406876,0.008883679757400315,0.3058853485713646,0.00039978432016442056,-0.008771554706027635,6.952313141723252e-05,0.0,0.0,0.0,0.057517414592893334,0.029330730709829916,0.002101581386017015,0.0,0.0,0.0
1683839955,-0.022155652453446556,0.008152009977270938,0.3000687915514251,0.0004141903393416328,-0.00784523362635894,6.89629160069825e-05,0.0,0.0,0.0,0.0496105818392064,-0.014633395602587536,-0.116331140398791,0.0,0.0,0.0
1683839955,-0.02073074661242833,0.008244742948078176,0.2985086135349841,0.0005227775843807426,-0.007750371113245206,-7.924934320060819e-06,0.0,0.0,0.0,0.02849811682036449,0.001854659416144766,-0.031203560328819657,0.0,0.0,0.0
1683839955,-0.0189400194326539,0.006220391211752239,0.2938779001987565,0.0005362820337316769,-0.007537580044900348,0.00016805315527599455,0.0,0.0,0.0,0.03581454359548861,-0.040487034726518746,-0.0926142667245522,0.0,0.0,0.0
1683839955,-0.0189400194326539,0.006220391211752239,0.2938779001987565,0.0005362820337316769,-0.007537580044900348,0.00016805315527599455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839955,-0.01829226152317107,0.008333032539486194,0.2893971483820374,0.0013195995551565107,-0.006382910426735511,-0.0001296015216105006,0.0,0.0,0.0,0.012955158189656632,0.04225282655467911,-0.08961503633438173,0.0,0.0,0.0
1683839955,-0.016347102824978588,0.006901206956299499,0.28285254520450764,0.0010659859344562745,-0.006824729567727076,-4.3309199143367834e-05,0.0,0.0,0.0,0.03890317396384964,-0.028636511663733908,-0.13089206355059502,0.0,0.0,0.0
1683839955,-0.011285509759901778,0.006972900425115719,0.278742085568772,-0.00016288892611901002,-0.006439418039957486,-0.0001058604895683733,0.0,0.0,0.0,0.10123186130153619,0.00143386937632441,-0.08220919271471283,0.0,0.0,0.0
1683839955,-0.011285509759901778,0.006972900425115719,0.278742085568772,-0.00016288892611901002,-0.006439418039957486,-0.0001058604895683733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683839955,-0.012056039113832457,0.005851599046523531,0.2715333225410962,0.0005903399549084228,-0.005771628865743658,-6.695715556028163e-05,0.0,0.0,0.0,-0.015410587078613577,-0.022426027571843758,-0.14417526055351626,0.0,0.0,0.0
1683839955,-0.008794479183470934,0.0057635099266781,0.2635174816490493,0.0011034821528944272,-0.006174510769869249,8.81493716740501e-05,0.0,0.0,0.0,0.06523119860723045,-0.0017617823969086344,-0.16031681784093754,0.0,0.0,0.0
1683839955,-0.009218524365428827,0.006485985474447978,0.2607864400190779,0.0010460158288599405,-0.0053297101270697355,-1.5702899150178764e-05,0.0,0.0,0.0,-0.008480903639157857,0.014449510955397565,-0.05462083259942796,0.0,0.0,0.0
1683839955,-0.00796732631120839,0.006345897311826719,0.2571391881651936,0.0017157637114174327,-0.00512904515221165,3.97137597588068e-05,0.0,0.0,0.0,0.025023961084408748,-0.002801763252425187,-0.07294503707768629,0.0,0.0,0.0
1683839955,-0.0027031978265249583,0.005762564223527273,0.2524640335080141,0.002131028459241241,-0.004123053897879674,2.8960146497267446e-05,0.0,0.0,0.0,0.1052825696936686,-0.01166666176598892,-0.09350309314358984,0.0,0.0,0.0
1683839955,-0.0008013229566447773,0.00518633669250203,0.2501140496213216,0.0016709357276724526,-0.003591336196786537,-3.309785689367233e-05,0.0,0.0,0.0,0.03803749739760361,-0.011524550620504847,-0.04699967773384994,0.0,0.0,0.0
1683839955,0.002528285384613424,0.0049661484413115005,0.241060541193347,0.0010580973629350466,-0.0035423122702176943,-0.0003280622385618564,0.0,0.0,0.0,0.06659216682516403,-0.004403765023810596,-0.18107016855949232,0.0,0.0,0.0
1683839956,0.005112018431559389,0.0030914345367622866,0.23554481998124652,0.0012863003155863123,-0.0036317280882697724,7.35533474140595e-05,0.0,0.0,0.0,0.0516746609389193,-0.037494278090984275,-0.11031442424200955,0.0,0.0,0.0
1683839956,0.008823081413524123,0.0019706738775517782,0.23083594532047025,0.002498348542708865,-0.0030546142812689007,0.0001923570411538047,0.0,0.0,0.0,0.07422125963929467,-0.022415213184210168,-0.09417749321552538,0.0,0.0,0.0
1683839956,0.01225631591586761,0.0011765340215024209,0.22120179289911343,0.0018556254453490097,-0.0030712078801414947,0.00025381220517043263,0.0,0.0,0.0,0.06866469004686973,-0.015882797120987148,-0.19268304842713635,0.0,0.0,0.0
1683839956,0.014169289782195626,-0.0002945098127581412,0.2155100701069317,0.002382105982936447,-0.0031958013380582835,0.0003196711422112337,0.0,0.0,0.0,0.03825947732656033,-0.02942087668521124,-0.11383445584363439,0.0,0.0,0.0
1683839956,0.016010172994521028,-0.00112377521500864,0.20908271510960627,0.002399303165801398,-0.0021302063650012366,0.00010095377028362178,0.0,0.0,0.0,0.036817664246508036,-0.016585308045009975,-0.1285470999465088,0.0,0.0,0.0
1683839956,0.019232614500925095,-0.0008814538513899582,0.20239823329515014,0.0010968497196378346,-0.0017754700673013432,-0.0002802685575269437,0.0,0.0,0.0,0.06444883012808135,0.004846427272373636,-0.13368963628912267,0.0,0.0,0.0
1683839956,0.02021016584005878,-0.0024425633171720118,0.19896843762310945,0.0013779289251847147,-0.0014843889768554185,-8.586787057244513e-05,0.0,0.0,0.0,0.01955102678267373,-0.03122218931564107,-0.06859591344081373,0.0,0.0,0.0
1683839956,0.020426968126133004,-0.0016725746039811063,0.19876880429656424,0.0006702957058605178,-0.0013066110213658787,-0.00033079908089890157,0.0,0.0,0.0,0.004336045721484438,0.01539977426381811,-0.003992666530904243,0.0,0.0,0.0
